	GNM000007925	GNM000011465	GNM000011485	GNM000012465	GNM000012505	GNM000012625	GNM000012645	GNM000014585	GNM000015645	GNM000015665	GNM000015685	GNM000015705	GNM000015965	GNM000018065	GNM000018585	GNM000063505	GNM000153045	GNM000153065	GNM000153285	GNM000153805	GNM000153825	GNM000155635	GNM000158595	GNM000161795	GNM000179235	GNM000179255	GNM000195975	GNM000230675	GNM000515235	GNM000737535	GNM000737595	GNM000757845	GNM000757865	GNM000759855	GNM000759865	GNM000759875	GNM000759885	GNM000759935	GNM000759955	GNM000759975	GNM000760015	GNM000760035	GNM000760055	GNM000760075	GNM000760095	GNM000760115	GNM000760155	GNM000760175	GNM000760195	GNM000760215	GNM000760235	GNM000760255	GNM000760275	GNM000760295	GNM000760335	GNM000760355	GNM000760375	GNM001040845	GNM001631935	GNM001631965	GNM001631985	GNM001632005	GNM001632025	GNM001632045	GNM001632065	GNM001632075	GNM001632105	GNM001632125	GNM001632145	GNM001632165	GNM001885215	GNM001989415	GNM001989435	GNM001989455	GNM002006815	GNM002252625	GNM002252635	GNM002252665	GNM002252675	GNM002812945	GNM003011125	GNM003011885	GNM003208055	GNM003208065	GNM004209775	GNM004332405	GNM004332415	GNM007828135	GNM008807075	GNM009834675	GNM900088535
GNM000007925	1757	1404	1444	1488	1428	1441	1415	1431	1415	1399	1499	1452	1401	1405	1509	1406	1375	1390	1412	1429	1427	1369	1400	1429	1388	1409	1425	1421	1420	1438	1431	1414	1495	1404	1399	1404	1402	1404	1411	1419	1417	1408	1409	1407	1408	1397	1744	1524	1564	1565	1492	1748	1747	1433	1430	1742	1738	1440	1422	1434	1443	1444	1437	1446	1445	1447	1421	1441	1443	1437	1360	1407	1405	1405	1203	1386	1361	1381	1372	1403	1301	1349	1474	1465	1396	1407	1395	1360	1374	1379	1375
GNM000011465	1404	1815	1363	1468	1386	1405	1630	1395	1649	1618	1471	1373	1640	1631	1370	1371	1350	1361	1381	1389	1389	1346	1626	1400	1365	1371	1401	1395	1389	1400	1398	1652	1479	1614	1608	1812	1613	1613	1636	1637	1630	1671	1633	1632	1635	1642	1403	1385	1393	1394	1466	1402	1404	1348	1346	1400	1397	1395	1390	1349	1367	1362	1356	1366	1367	1366	1389	1358	1363	1408	1326	1652	1652	1652	1181	1361	1338	1351	1351	1624	1276	1332	1426	1436	1371	1370	1366	1327	1341	1352	1351
GNM000011485	1444	1363	2285	1435	1702	1743	1377	1755	1366	1343	1441	2108	1372	1369	1432	1745	1690	1733	1753	1709	1799	1688	1362	1680	1721	1709	1711	1770	1735	1747	1759	1381	1456	1366	1359	1363	1375	1368	1380	1390	1378	1376	1372	1369	1369	1376	1444	1433	1430	1430	1443	1444	1444	2047	2042	1443	1441	1773	1787	2102	2098	2136	2104	2102	2101	2154	1796	2127	2122	1755	1659	1376	1375	1375	1450	1696	1675	1652	1681	1368	1570	1647	1431	1420	1735	1720	1713	1660	1681	1690	1699
GNM000012465	1488	1468	1435	1853	1440	1455	1473	1428	1469	1441	1820	1443	1468	1470	1453	1418	1389	1401	1425	1441	1431	1389	1463	1459	1401	1418	1446	1441	1433	1435	1446	1474	1794	1464	1458	1468	1464	1462	1471	1480	1474	1475	1468	1467	1468	1477	1484	1460	1469	1470	1787	1486	1485	1418	1416	1481	1479	1437	1436	1425	1439	1437	1429	1436	1438	1441	1437	1435	1434	1445	1359	1481	1477	1477	1221	1398	1368	1386	1377	1470	1317	1367	1680	1745	1411	1409	1413	1361	1384	1381	1393
GNM000012505	1428	1386	1702	1440	2249	2009	1393	1936	1396	1372	1448	1710	1392	1401	1413	1892	1766	1810	1910	2121	1919	1778	1396	1932	1795	1812	1986	1940	1969	1983	1980	1423	1451	1388	1381	1386	1400	1387	1404	1401	1394	1401	1401	1399	1400	1409	1428	1408	1414	1414	1453	1427	1429	1690	1685	1426	1425	1934	1925	1689	1706	1701	1687	1715	1714	1700	1929	1695	1709	1913	1726	1409	1408	1408	1487	1775	1728	1742	1731	1395	1626	1729	1430	1422	1831	1833	1850	1727	1774	1738	1780
GNM000012625	1441	1405	1743	1455	2009	2449	1416	1946	1399	1392	1468	1752	1420	1417	1426	1934	1825	1865	1977	2020	2005	1850	1412	2080	1867	1877	2086	1957	2083	2092	2167	1437	1471	1406	1400	1406	1416	1406	1424	1424	1416	1415	1412	1407	1409	1433	1438	1421	1421	1421	1472	1439	1440	1723	1717	1437	1436	1962	1982	1734	1734	1737	1725	1745	1742	1735	1991	1734	1739	1952	1780	1438	1437	1437	1525	1848	1791	1776	1799	1416	1669	1763	1441	1432	1910	1894	1881	1781	1831	1811	1854
GNM000012645	1415	1630	1377	1473	1393	1416	1821	1408	1655	1594	1478	1386	1655	1647	1385	1374	1352	1372	1389	1400	1404	1355	1628	1409	1369	1377	1410	1414	1401	1407	1408	1658	1483	1623	1618	1629	1649	1623	1643	1683	1817	1655	1646	1645	1649	1637	1411	1395	1406	1407	1470	1412	1414	1363	1360	1409	1407	1412	1404	1361	1380	1374	1370	1380	1381	1381	1404	1371	1375	1409	1332	1665	1664	1664	1188	1362	1333	1355	1343	1639	1289	1335	1449	1445	1381	1385	1377	1334	1344	1346	1357
GNM000014585	1431	1395	1755	1428	1936	1946	1408	2449	1403	1389	1441	1769	1409	1417	1421	1993	1858	1919	2023	1943	2028	1846	1410	1879	1905	1905	1913	2186	1947	1958	2017	1420	1443	1398	1393	1396	1408	1397	1418	1403	1408	1400	1405	1404	1405	1422	1429	1418	1423	1423	1448	1429	1431	1757	1754	1428	1426	2313	2086	1746	1764	1750	1741	1763	1762	1751	2099	1748	1761	2024	1811	1409	1408	1408	1551	1853	1836	1839	1846	1397	1692	1838	1425	1417	1956	1944	1926	1811	1850	1848	1853
GNM000015645	1415	1649	1366	1469	1396	1399	1655	1403	1781	1611	1471	1370	1656	1680	1377	1364	1345	1362	1377	1392	1393	1346	1665	1394	1351	1362	1396	1407	1393	1403	1394	1672	1475	1639	1627	1648	1644	1638	1671	1654	1654	1668	1674	1671	1673	1662	1413	1390	1400	1400	1470	1412	1416	1353	1350	1409	1407	1394	1395	1352	1368	1366	1358	1370	1371	1371	1402	1363	1367	1407	1321	1667	1667	1667	1177	1349	1323	1341	1335	1661	1271	1328	1435	1446	1370	1370	1364	1322	1338	1338	1345
GNM000015665	1399	1618	1343	1441	1372	1392	1594	1389	1611	1763	1449	1349	1576	1636	1372	1366	1342	1349	1366	1377	1377	1340	1620	1381	1346	1368	1384	1399	1380	1379	1383	1605	1453	1614	1601	1616	1580	1610	1623	1578	1593	1596	1620	1621	1623	1579	1396	1386	1401	1401	1450	1396	1399	1335	1333	1393	1392	1379	1382	1334	1346	1345	1339	1349	1350	1351	1383	1342	1344	1399	1320	1582	1584	1584	1162	1353	1324	1338	1338	1584	1265	1318	1418	1421	1354	1358	1354	1320	1326	1340	1343
