	GNM000007925	GNM000011465	GNM000011485	GNM000012465	GNM000012505	GNM000012625	GNM000012645	GNM000014585	GNM000015645	GNM000015665	GNM000015685	GNM000015705	GNM000015965	GNM000018065	GNM000018585	GNM000063505	GNM000153045	GNM000153065	GNM000153285	GNM000153805	GNM000153825	GNM000155635	GNM000158595	GNM000161795	GNM000179235	GNM000179255	GNM000195975	GNM000230675	GNM000515235	GNM000737535	GNM000737595	GNM000757845	GNM000757865	GNM000759855	GNM000759865	GNM000759875	GNM000759885	GNM000759935	GNM000759955	GNM000759975	GNM000760015	GNM000760035	GNM000760055	GNM000760075	GNM000760095	GNM000760115	GNM000760155	GNM000760175	GNM000760195	GNM000760215	GNM000760235	GNM000760255	GNM000760275	GNM000760295	GNM000760335	GNM000760355	GNM000760375	GNM001040845	GNM001631935	GNM001631965	GNM001631985	GNM001632005	GNM001632025	GNM001632045	GNM001632065	GNM001632075	GNM001632105	GNM001632125	GNM001632145	GNM001632165	GNM001885215	GNM001989415	GNM001989435	GNM001989455	GNM002006815	GNM002252625	GNM002252635	GNM002252665	GNM002252675	GNM002812945	GNM003011125	GNM003011885	GNM003208055	GNM003208065	GNM004209775	GNM004332405	GNM004332415	GNM007828135	GNM008807075	GNM009834675	GNM900088535
OG0008800			GNM000011485__gene68																																																																																								
OG0008801			GNM000011485__gene95																																																																																								
OG0008802			GNM000011485__gene103																																																																																								
OG0008803			GNM000011485__gene104																																																																																								
OG0008804			GNM000011485__gene106																																																																																								
OG0008805			GNM000011485__gene108																																																																																								
OG0008806			GNM000011485__gene115																																																																																								
OG0008807			GNM000011485__gene177																																																																																								
OG0008808			GNM000011485__gene267																																																																																								
OG0008809			GNM000011485__gene284																																																																																								
OG0008810			GNM000011485__gene307																																																																																								
OG0008811			GNM000011485__gene319																																																																																								
OG0008812			GNM000011485__gene327																																																																																								
OG0008813			GNM000011485__gene328																																																																																								
OG0008814			GNM000011485__gene337																																																																																								
OG0008815			GNM000011485__gene338																																																																																								
OG0008816			GNM000011485__gene339																																																																																								
OG0008817			GNM000011485__gene365																																																																																								
OG0008818			GNM000011485__gene416																																																																																								
OG0008819			GNM000011485__gene464																																																																																								
OG0008820			GNM000011485__gene465																																																																																								
OG0008821			GNM000011485__gene526																																																																																								
OG0008822			GNM000011485__gene532																																																																																								
OG0008823			GNM000011485__gene608																																																																																								
OG0008824			GNM000011485__gene674																																																																																								
OG0008825			GNM000011485__gene676																																																																																								
OG0008826			GNM000011485__gene822																																																																																								
OG0008827			GNM000011485__gene900																																																																																								
OG0008828			GNM000011485__gene916																																																																																								
OG0008829			GNM000011485__gene925																																																																																								
OG0008830			GNM000011485__gene959																																																																																								
OG0008831			GNM000011485__gene971																																																																																								
OG0008832			GNM000011485__gene974																																																																																								
OG0008833			GNM000011485__gene983																																																																																								
OG0008834			GNM000011485__gene1008																																																																																								
OG0008835			GNM000011485__gene1013																																																																																								
OG0008836			GNM000011485__gene1051																																																																																								
OG0008837			GNM000011485__gene1076																																																																																								
OG0008838			GNM000011485__gene1113																																																																																								
OG0008839			GNM000011485__gene1121																																																																																								
OG0008840			GNM000011485__gene1195																																																																																								
OG0008841			GNM000011485__gene1280																																																																																								
OG0008842			GNM000011485__gene1561																																																																																								
OG0008843			GNM000011485__gene1576																																																																																								
OG0008844			GNM000011485__gene1645																																																																																								
OG0008845			GNM000011485__gene1738																																																																																								
OG0008846			GNM000011485__gene1751																																																																																								
OG0008847			GNM000011485__gene1759																																																																																								
OG0008848			GNM000011485__gene1780																																																																																								
OG0008849			GNM000011485__gene1781																																																																																								
OG0008850			GNM000011485__gene1782																																																																																								
OG0008851			GNM000011485__gene1784																																																																																								
OG0008852			GNM000011485__gene1785																																																																																								
OG0008853			GNM000011485__gene1787																																																																																								
OG0008854			GNM000011485__gene1791																																																																																								
OG0008855			GNM000011485__gene1815																																																																																								
OG0008856			GNM000011485__gene2038																																																																																								
OG0008857			GNM000011485__gene2039																																																																																								
OG0008858			GNM000011485__gene2103																																																																																								
OG0008859			GNM000011485__gene2104																																																																																								
OG0008860			GNM000011485__gene2105																																																																																								
OG0008861			GNM000011485__gene2139																																																																																								
OG0008862			GNM000011485__gene2146																																																																																								
OG0008863			GNM000011485__gene2170																																																																																								
OG0008864			GNM000011485__gene2190																																																																																								
OG0008865			GNM000011485__gene2315																																																																																								
OG0008866			GNM000011485__gene2363																																																																																								
OG0008867			GNM000011485__gene2380																																																																																								
OG0008868			GNM000011485__gene2406																																																																																								
OG0008869				GNM000012465__gene36																																																																																							
OG0008870				GNM000012465__gene68																																																																																							
OG0008871				GNM000012465__gene90																																																																																							
OG0008872				GNM000012465__gene781																																																																																							
OG0008873				GNM000012465__gene913																																																																																							
OG0008874				GNM000012465__gene1194																																																																																							
OG0008875				GNM000012465__gene1470																																																																																							
OG0008876				GNM000012465__gene1711																																																																																							
OG0008877				GNM000012465__gene1751																																																																																							
OG0008878				GNM000012465__gene1752																																																																																							
OG0008879				GNM000012465__gene1753																																																																																							
OG0008880				GNM000012465__gene1755																																																																																							
OG0008881				GNM000012465__gene1882																																																																																							
OG0008882				GNM000012465__gene1890																																																																																							
OG0008883					GNM000012505__gene68																																																																																						
OG0008884					GNM000012505__gene69																																																																																						
OG0008885					GNM000012505__gene71																																																																																						
OG0008886					GNM000012505__gene72																																																																																						
OG0008887					GNM000012505__gene74																																																																																						
OG0008888					GNM000012505__gene90																																																																																						
OG0008889					GNM000012505__gene100																																																																																						
OG0008890					GNM000012505__gene101																																																																																						
OG0008891					GNM000012505__gene107																																																																																						
OG0008892					GNM000012505__gene117																																																																																						
OG0008893					GNM000012505__gene175																																																																																						
OG0008894					GNM000012505__gene200																																																																																						
OG0008895					GNM000012505__gene215																																																																																						
OG0008896					GNM000012505__gene251																																																																																						
OG0008897					GNM000012505__gene258																																																																																						
OG0008898					GNM000012505__gene447																																																																																						
OG0008899					GNM000012505__gene454																																																																																						
OG0008900					GNM000012505__gene459																																																																																						
OG0008901					GNM000012505__gene461																																																																																						
OG0008902					GNM000012505__gene466																																																																																						
OG0008903					GNM000012505__gene467																																																																																						
OG0008904					GNM000012505__gene469																																																																																						
OG0008905					GNM000012505__gene497																																																																																						
OG0008906					GNM000012505__gene617																																																																																						
OG0008907					GNM000012505__gene669																																																																																						
OG0008908					GNM000012505__gene724																																																																																						
OG0008909					GNM000012505__gene792																																																																																						
OG0008910					GNM000012505__gene828																																																																																						
OG0008911					GNM000012505__gene852																																																																																						
OG0008912					GNM000012505__gene875																																																																																						
OG0008913					GNM000012505__gene981																																																																																						
OG0008914					GNM000012505__gene985																																																																																						
OG0008915					GNM000012505__gene1006																																																																																						
OG0008916					GNM000012505__gene1021																																																																																						
OG0008917					GNM000012505__gene1023																																																																																						
OG0008918					GNM000012505__gene1034																																																																																						
OG0008919					GNM000012505__gene1038																																																																																						
OG0008920					GNM000012505__gene1048																																																																																						
OG0008921					GNM000012505__gene1058																																																																																						
OG0008922					GNM000012505__gene1060																																																																																						
OG0008923					GNM000012505__gene1070																																																																																						
OG0008924					GNM000012505__gene1091																																																																																						
OG0008925					GNM000012505__gene1102																																																																																						
OG0008926					GNM000012505__gene1123																																																																																						
OG0008927					GNM000012505__gene1155																																																																																						
OG0008928					GNM000012505__gene1156																																																																																						
OG0008929					GNM000012505__gene1199																																																																																						
OG0008930					GNM000012505__gene1248																																																																																						
OG0008931					GNM000012505__gene1404																																																																																						
OG0008932					GNM000012505__gene1425																																																																																						
OG0008933					GNM000012505__gene1426																																																																																						
OG0008934					GNM000012505__gene1438																																																																																						
OG0008935					GNM000012505__gene1444																																																																																						
OG0008936					GNM000012505__gene1450																																																																																						
OG0008937					GNM000012505__gene1465																																																																																						
OG0008938					GNM000012505__gene1512																																																																																						
OG0008939					GNM000012505__gene1517																																																																																						
OG0008940					GNM000012505__gene1524																																																																																						
OG0008941					GNM000012505__gene1532																																																																																						
OG0008942					GNM000012505__gene1535																																																																																						
OG0008943					GNM000012505__gene1541																																																																																						
OG0008944					GNM000012505__gene1553																																																																																						
OG0008945					GNM000012505__gene1557																																																																																						
OG0008946					GNM000012505__gene1572																																																																																						
OG0008947					GNM000012505__gene1609																																																																																						
OG0008948					GNM000012505__gene1617																																																																																						
OG0008949					GNM000012505__gene1682																																																																																						
OG0008950					GNM000012505__gene1903																																																																																						
OG0008951					GNM000012505__gene1908																																																																																						
OG0008952					GNM000012505__gene1911																																																																																						
OG0008953					GNM000012505__gene1912																																																																																						
OG0008954					GNM000012505__gene1918																																																																																						
OG0008955					GNM000012505__gene1982																																																																																						
OG0008956					GNM000012505__gene1983																																																																																						
OG0008957					GNM000012505__gene2014																																																																																						
OG0008958					GNM000012505__gene2048																																																																																						
OG0008959					GNM000012505__gene2118																																																																																						
OG0008960					GNM000012505__gene2274																																																																																						
OG0008961					GNM000012505__gene2275																																																																																						
OG0008962					GNM000012505__gene2338																																																																																						
OG0008963						GNM000012625__gene43																																																																																					
OG0008964						GNM000012625__gene49																																																																																					
OG0008965						GNM000012625__gene51																																																																																					
OG0008966						GNM000012625__gene86																																																																																					
OG0008967						GNM000012625__gene102																																																																																					
OG0008968						GNM000012625__gene138																																																																																					
OG0008969						GNM000012625__gene140																																																																																					
OG0008970						GNM000012625__gene141																																																																																					
OG0008971						GNM000012625__gene142																																																																																					
OG0008972						GNM000012625__gene147																																																																																					
OG0008973						GNM000012625__gene151																																																																																					
OG0008974						GNM000012625__gene152																																																																																					
OG0008975						GNM000012625__gene153																																																																																					
OG0008976						GNM000012625__gene182																																																																																					
OG0008977						GNM000012625__gene199																																																																																					
OG0008978						GNM000012625__gene347																																																																																					
OG0008979						GNM000012625__gene452																																																																																					
OG0008980						GNM000012625__gene453																																																																																					
OG0008981						GNM000012625__gene454																																																																																					
OG0008982						GNM000012625__gene455																																																																																					
OG0008983						GNM000012625__gene460																																																																																					
OG0008984						GNM000012625__gene461																																																																																					
OG0008985						GNM000012625__gene466																																																																																					
OG0008986						GNM000012625__gene516																																																																																					
OG0008987						GNM000012625__gene529																																																																																					
OG0008988						GNM000012625__gene545																																																																																					
OG0008989						GNM000012625__gene551																																																																																					
OG0008990						GNM000012625__gene558																																																																																					
OG0008991						GNM000012625__gene565																																																																																					
OG0008992						GNM000012625__gene569																																																																																					
OG0008993						GNM000012625__gene575																																																																																					
OG0008994						GNM000012625__gene579																																																																																					
OG0008995						GNM000012625__gene667																																																																																					
OG0008996						GNM000012625__gene768																																																																																					
OG0008997						GNM000012625__gene797																																																																																					
OG0008998						GNM000012625__gene798																																																																																					
OG0008999						GNM000012625__gene800																																																																																					
OG0009000						GNM000012625__gene801																																																																																					
OG0009001						GNM000012625__gene808																																																																																					
OG0009002						GNM000012625__gene853																																																																																					
OG0009003						GNM000012625__gene854																																																																																					
OG0009004						GNM000012625__gene855																																																																																					
OG0009005						GNM000012625__gene856																																																																																					
OG0009006						GNM000012625__gene857																																																																																					
OG0009007						GNM000012625__gene858																																																																																					
OG0009008						GNM000012625__gene860																																																																																					
OG0009009						GNM000012625__gene863																																																																																					
OG0009010						GNM000012625__gene894																																																																																					
OG0009011						GNM000012625__gene895																																																																																					
OG0009012						GNM000012625__gene898																																																																																					
OG0009013						GNM000012625__gene899																																																																																					
OG0009014						GNM000012625__gene940																																																																																					
OG0009015						GNM000012625__gene966																																																																																					
OG0009016						GNM000012625__gene967																																																																																					
OG0009017						GNM000012625__gene972																																																																																					
OG0009018						GNM000012625__gene978																																																																																					
OG0009019						GNM000012625__gene982																																																																																					
OG0009020						GNM000012625__gene983																																																																																					
OG0009021						GNM000012625__gene987																																																																																					
OG0009022						GNM000012625__gene991																																																																																					
OG0009023						GNM000012625__gene998																																																																																					
OG0009024						GNM000012625__gene1001																																																																																					
OG0009025						GNM000012625__gene1020																																																																																					
OG0009026						GNM000012625__gene1048																																																																																					
OG0009027						GNM000012625__gene1051																																																																																					
OG0009028						GNM000012625__gene1052																																																																																					
OG0009029						GNM000012625__gene1053																																																																																					
OG0009030						GNM000012625__gene1055																																																																																					
OG0009031						GNM000012625__gene1100																																																																																					
OG0009032						GNM000012625__gene1101																																																																																					
OG0009033						GNM000012625__gene1102																																																																																					
OG0009034						GNM000012625__gene1103																																																																																					
OG0009035						GNM000012625__gene1104																																																																																					
OG0009036						GNM000012625__gene1105																																																																																					
OG0009037						GNM000012625__gene1135																																																																																					
OG0009038						GNM000012625__gene1136																																																																																					
OG0009039						GNM000012625__gene1166																																																																																					
OG0009040						GNM000012625__gene1182																																																																																					
OG0009041						GNM000012625__gene1184																																																																																					
OG0009042						GNM000012625__gene1222																																																																																					
OG0009043						GNM000012625__gene1297																																																																																					
OG0009044						GNM000012625__gene1299																																																																																					
OG0009045						GNM000012625__gene1300																																																																																					
OG0009046						GNM000012625__gene1301																																																																																					
OG0009047						GNM000012625__gene1302																																																																																					
OG0009048						GNM000012625__gene1303																																																																																					
OG0009049						GNM000012625__gene1306																																																																																					
OG0009050						GNM000012625__gene1307																																																																																					
OG0009051						GNM000012625__gene1308																																																																																					
OG0009052						GNM000012625__gene1309																																																																																					
OG0009053						GNM000012625__gene1310																																																																																					
